Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Viet Nam,VNM,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,69.974,71.493,70.833,70.353,70.098,70.381,70.727,71.138,71.55,71.906,71.731,71.715,71.983,72.906,73.059,72.863,72.53,72.575,72.897,71.511,69.095,69.107,69.878,69.215
Viet Nam,VNM,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,77.088,78.609,78.296,78.157,78.21,78.453,78.814,79.286,80.008,80.566,81.233,81.466,81.067,81.962,81.945,82.417,81.789,82.197,82.408,82.088,80.025,78.712,79.432,78.201
Viet Nam,VNM,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,7.78798007965088,7.90968990325928,8.26686954498291,8.61293983459473,..,13.1124296188354,16.3564395904541,18.7052593231201,19.3841209411621,20.7121391296387,23.2656794979267,25.413021309933,13.326012783029,23.9315381184031,31.758766376301,29.4365366202641,31.9215031225633,27.4448664101479,..,..,..,41.0590994828712,45.3703223280821,36.0774676873689
Viet Nam,VNM,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,10.6749696731567,10.6626796722412,10.8212003707886,11.1974401473999,..,18.5904598236084,17.2463092803955,19.1955394744873,20.7396697998047,22.3181705474854,24.6012868669488,26.327851040583,38.1735756369855,27.2970135163244,30.9115450924686,30.0066478469738,26.3157973289288,24.4948645754524,..,..,..,42.8379016583449,44.145253554546,29.6371360595075
Viet Nam,VNM,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,78.6268956810731,75.656328929661,76.710296355605,76.0406628100982,72.9894982180066,72.4841189155503,71.9783889358818,71.4725290860975,70.2459553273467,69.0999606099727,69.6245944373709,69.3019278357077,69.0605176266538,68.9425911396866,68.0894684416707,63.7713486578569,62.2479321836169,61.0703837595963,59.3167451340316,58.8132152839077,58.5551621447612,58.4300842242505,58.4158052279424,57.9900494249051
Viet Nam,VNM,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,18.458847884301,20.476479803629,20.2541539773554,21.0651631549746,24.2955107311736,24.7615576967845,25.2327122232266,25.7065104580914,26.6864775712474,27.676435140376,28.1337398953577,28.8424113569106,29.2474518285275,29.5368195011334,30.6856265045215,34.3378763704897,35.8960332582333,37.7999673650905,39.4823093200264,39.8666607244977,39.8596706015475,40.4784001491795,40.576815575783,40.950421783493
Viet Nam,VNM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,26,26,27.3092369477912,27.3092369477912,27.3092369477912,27.3092369477912,27.3092369477912,25.7606490872211,25.7606490872211,25.7606490872211,25.7606490872211,24.4,24.4,24.4,24.2971887550201,24.2971887550201,26.7206477732794,26.7206477732794,26.7206477732794,26.7206477732794,26.7206477732794,30.2605210420842,30.2605210420842,30.2605210420842
Viet Nam,VNM,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..,..,..,..,..,..,..,16.327,..,..,8.255,10.982,12.935,8.129,11.23,13.572,15.306,14.547,14.825,14.565,22.725,15.513,17.074,21.826
Viet Nam,VNM,"Share of youth not in education, employment or training, female (% of female youth population)",SL.UEM.NEET.FE.ZS,..,..,..,..,..,..,..,12.367,..,12.882,10.694,10.782,11.655,12.326,12.168,12.623,11.84,12.013,10.631,15.085,16.022,16.276,12.384,11.759
Viet Nam,VNM,"Share of youth not in education, employment or training, male (% of male youth population)",SL.UEM.NEET.MA.ZS,..,..,..,..,..,..,..,8.917,..,7.711,5.856,5.925,7.399,7.845,7.452,7.295,7.206,7.512,6.001,11.521,12.463,13.651,9.832,9.947
