Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Viet Nam,VNM,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,9045.5527447064,9417.31083011974,9924.84251367157,10469.6363832715,10992.795861109,11423.1477584099,11834.8360506953,12070.6347536496,12348.6291101514,12790.1549732578,13356.96664417,13901.085479596,14358.5460599234,15079.6514659694,16009.8086878279,17000.2147796543,17973.3795572139,18936.4394759814,20457.7304210902,21529.5499916683,22082.4320174116,23275.247865038,24513.2203648419
Viet Nam,VNM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,38.1294216644677,38.4866787864761,39.4700078083864,40.2087495299221,38.1311399002846,38.5847310338981,38.5116248479069,37.0776963788801,37.3881863793419,33.0228771360005,34.580408780539,35.8602323946766,35.575150437736,35.2985684880333,34.2665466382117,34.1152288612372,35.3903640729728,36.5424334086447,36.8031368977554,36.7437132938801,37.3915192469302,38.4823612398341,37.5815697548824
Viet Nam,VNM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,3.97733545270572,3.99268705133996,3.66601229989583,3.54408107288199,3.39040363930871,3.61600090432522,8.65471771434805,9.6630390545572,7.16881988884277,5.4347392933443,4.30487434902161,4.27832287681174,4.16454517277325,3.94086189051961,4.93190773329022,4.90089302916746,5.01148721749681,4.99828319622328,4.821074861051,4.55836196782424,4.27314566190187,4.32947308910883,4.26407109843686
Viet Nam,VNM,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,3.365437690751,5.04789720062267,5.30939712398707,5.08498588717851,5.46559440318446,5.7253347651816,7.98300827980163,6.86369325892131,5.67657343303365,5.14194271391537,4.82400859084171,4.04518291124935,4.41207825102011,4.19530449519011,3.36485543217987,3.32797565973604,3.34298428192977,3.28640694383908,3.25548904943051,3.0911959715008,3.47147757606586,3.19268406571154,3.2268646150333
Viet Nam,VNM,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,71.493,70.833,70.353,70.098,70.381,70.727,71.138,71.55,71.906,71.731,71.715,71.983,72.906,73.059,72.863,72.53,72.575,72.897,71.511,69.095,69.107,69.878,69.215
Viet Nam,VNM,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,78.609,78.296,78.157,78.21,78.453,78.814,79.286,80.008,80.566,81.233,81.466,81.067,81.962,81.945,82.417,81.789,82.197,82.408,82.088,80.025,78.712,79.432,78.201
Viet Nam,VNM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.76,2.12,2.25,2.14,2.078,2.046,2.026,1.889,1.737,1.114,0.999,1.027,1.316,1.256,1.848,1.848,1.874,1.161,1.681,2.103,2.383,1.57,1.645
Viet Nam,VNM,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,71.1782737736455,71.5681356554883,70.1144154890187,66.3661740691316,65.8285706078261,65.300594645645,64.7793179025819,63.173844109489,61.6216866277286,62.7268053732437,62.4408821880805,62.5350197705013,62.6538750141381,62.2488274046861,57.7628165781259,55.9228443604091,55.116987476102,53.9142551765669,53.2337599957737,53.1302143969625,53.1544201035082,52.7993697102954,52.3405074390883
Viet Nam,VNM,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,25.6233644246076,25.1665424457197,26.6647258219949,30.2707178626942,30.7849689162164,31.2947442100904,31.8012705105511,32.7200705577899,33.5897138128136,33.8338273660669,34.6659310568189,34.767520336154,34.8558495696665,35.660735510433,39.3362094535459,41.2438243697276,42.8488760172894,43.9443389521475,44.3473160334712,44.1491159909334,44.7785493075313,45.3477061385786,45.7156818633744
Viet Nam,VNM,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,7.90968990325928,8.26686954498291,8.61293983459473,..,13.1124296188354,16.3564395904541,18.7052593231201,19.3841209411621,20.7121391296387,23.2656794979267,25.413021309933,13.326012783029,23.9315381184031,31.758766376301,29.4365366202641,31.9215031225633,27.4448664101479,..,..,..,41.0590994828712,45.3703223280821,36.0774676873689
