Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Viet Nam,VNM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,36.7307753268455,38.1294216644677,38.4866787864761,39.4700078083864,40.2087495299221,38.1311399002846,38.5847310338981,38.5116248479069,37.0776963788801,37.3881863793419,33.0228771360005,34.580408780539,35.8602323946766,35.575150437736,35.2985684880333,34.2665466382117,34.1152288612372,35.3903640729728,36.5424334086447,36.8031368977554,36.7437132938801,37.3915192469302,38.4823612398341,37.5815697548824,37.6414652034249,..
Viet Nam,VNM,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,0.604491840844304,0.625182099419093,0.6920921096751,0.687862331835962,0.757303916373415,0.770204125133208,0.738657254717513,0.764050315790172,0.795712705422328,0.845182127854149,0.88417385922608,0.830794889523241,0.784726377083804,0.77644448756182,0.800160934532117,0.839336717589995,0.87675684113132,0.83981758476795,0.961612478203975,1.0685230063613,1.07518950232891,1.01181276155185,0.953936159714234,1.03127470286166,1.06180348658809,..
Viet Nam,VNM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.732762940866418,0.796360252330399,0.927761034143203,0.975900126008347,1.14424418007545,1.23999989986226,1.25547815833719,1.36684666856981,1.47684691804671,1.62877944346484,1.79273486369334,1.77200618969635,1.74532095481779,1.80141667663283,1.95182181139621,2.16344818077591,2.38090235568537,2.40871172027244,2.93126723532271,3.46316479458409,3.5515331687432,3.39788716841419,3.45101965872917,3.89354026267807,4.26605675468195,..
Viet Nam,VNM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,27.2332642563715,27.2724542389611,27.3729160568005,27.4669078615838,27.4866878050048,27.3645140387577,27.0007597054278,26.3605983485498,25.4734887212418,24.3688895766214,23.0762596678067,20.4905765848944,21.5116439458873,23.2274925075316,20.4035064934273,19.377014054477,20.3304456216218,18.5797797556674,20.1630176303186,20.8317868906878,20.8010641731194,..,..,..,..,..
Viet Nam,VNM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,29.8,28.6,27.4,26.5,25.7,25,24.5,24,23.6,23.3,23.1,22.8,22.6,22.4,22.2,22,21.8,21.5,21.4,21.2,21,20.7,20.4,20,..,..
Viet Nam,VNM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.746,72.984,73.138,73.236,73.062,73.198,73.293,73.385,73.455,73.525,73.611,73.713,73.762,73.821,73.886,73.955,73.984,74.026,74.1,74.211,75.383,74.145,74.502,74.588,..,..
Thailand,THA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,36.6694083813627,36.3210034946673,36.8944314471526,37.9181748920386,37.9023024950671,38.5052107116361,39.146855883906,39.4313718771557,39.4796129651304,38.6085988884387,39.9217256985357,37.9813982711097,37.343694137461,36.8985884648101,36.7630403655124,36.1791773262667,35.586765405076,35.018759526322,34.7424896675041,33.5939105133265,33.2907229678575,35.0317119667993,35.1217577031461,32.9804093286492,32.1359776535892,..
Thailand,THA,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,0.789519784251738,0.801134305925791,0.80220743400406,0.778554428090721,0.798223560503887,0.794140496224352,0.768518212591275,0.744596628110979,0.735369789527958,0.718942475788334,0.710035634395794,0.705225036594706,0.705722274191625,0.716199341097145,0.700389803197874,0.701396308230586,0.669179110552456,0.650015233003032,0.613854576352074,0.622473845640402,0.6374947163998,0.611679449074295,0.631232721326372,0.598552886696295,0.602338752481112,..
Thailand,THA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2.77493831519154,2.88330259468562,3.03535576431598,3.12835266531198,3.37869799549585,3.47218658348054,3.49792985897197,3.54477665878806,3.53401361701146,3.40595891903064,3.59232409675161,3.57565835731247,3.81363739650232,3.95099362283237,3.88118627669814,3.99014074054595,3.91990436444812,3.94997556709625,3.87600024932723,4.00533143026177,3.84739936431244,3.74441224162639,3.963374866518,3.83577489383729,3.96005269352319,..
Thailand,THA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,40.3912275638682,40.3506543167023,40.4326952705377,40.5281267680848,40.5277251520537,40.3222667651549,39.7521062500821,38.7509301612035,37.3495127087413,35.5786281029176,33.4690505539545,29.0591951880929,31.5886298984382,34.4883511418629,29.9705384622081,28.1544413826202,30.3985996204755,27.1006744719071,30.0080973964844,30.382756547172,31.0072016277159,..,..,..,..,..
